total_bill,tip,sex,smoker,day,time,size,discount_bill,tip_category
16.99,1.01,Female,No,Sun,Dinner,2,15.290999999999999,Low
10.34,1.66,Male,No,Sun,Dinner,3,9.306000000000001,Low
21.01,3.5,Male,No,Sun,Dinner,3,18.909000000000002,Medum
23.68,3.31,Male,No,Sun,Dinner,2,21.312,Medum
24.59,3.61,Female,No,Sun,Dinner,4,22.131,Medum
25.29,4.71,Male,No,Sun,Dinner,4,22.761,Medum
8.77,2.0,Male,No,Sun,Dinner,2,7.893,Medum
26.88,3.12,Male,No,Sun,Dinner,4,24.192,Medum
15.04,1.96,Male,No,Sun,Dinner,2,13.536,Low
14.78,3.23,Male,No,Sun,Dinner,2,13.302,Medum
10.27,1.71,Male,No,Sun,Dinner,2,9.243,Low
35.26,5.0,Female,No,Sun,Dinner,4,31.733999999999998,High
15.42,1.57,Male,No,Sun,Dinner,2,13.878,Low
18.43,3.0,Male,No,Sun,Dinner,4,16.587,Medum
14.83,3.02,Female,No,Sun,Dinner,2,13.347,Medum
21.58,3.92,Male,No,Sun,Dinner,2,19.422,Medum
10.33,1.67,Female,No,Sun,Dinner,3,9.297,Low
16.29,3.71,Male,No,Sun,Dinner,3,14.661,Medum
16.97,3.5,Female,No,Sun,Dinner,3,15.273,Medum
20.65,3.35,Male,No,Sat,Dinner,3,18.585,Medum
17.92,4.08,Male,No,Sat,Dinner,2,16.128000000000004,Medum
20.29,2.75,Female,No,Sat,Dinner,2,18.261,Medum
15.77,2.23,Female,No,Sat,Dinner,2,14.193,Medum
39.42,7.58,Male,No,Sat,Dinner,4,35.478,High
19.82,3.18,Male,No,Sat,Dinner,2,17.838,Medum
17.81,2.34,Male,No,Sat,Dinner,4,16.029,Medum
13.37,2.0,Male,No,Sat,Dinner,2,12.033,Medum
12.69,2.0,Male,No,Sat,Dinner,2,11.421,Medum
21.7,4.3,Male,No,Sat,Dinner,2,19.53,Medum
19.65,3.0,Female,No,Sat,Dinner,2,17.685,Medum
9.55,1.45,Male,No,Sat,Dinner,2,8.595,Low
18.35,2.5,Male,No,Sat,Dinner,4,16.515,Medum
15.06,3.0,Female,No,Sat,Dinner,2,13.554,Medum
20.69,2.45,Female,No,Sat,Dinner,4,18.621000000000002,Medum
17.78,3.27,Male,No,Sat,Dinner,2,16.002000000000002,Medum
24.06,3.6,Male,No,Sat,Dinner,3,21.654,Medum
